what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1476094662179
started,bundle,es.gavab.IDEConfigurator,1.0.8.200902041501,es.gavab.IDEConfigurator,1476094662179
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1476094663195
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476094663382
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476094674507
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1476094676117
started,bundle,net.sf.eclipsefp.common.ui,0.10.0,net.sf.eclipsefp.common.ui,1476094676539
started,bundle,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui,1476094676554
started,bundle,net.sf.eclipsefp.common.core,0.10.0,net.sf.eclipsefp.common.core,1476094676554
started,bundle,de.leiffrenzel.fp.haskell.ghccompiler,0.10.0,de.leiffrenzel.fp.haskell.ghccompiler,1476094676570
started,bundle,net.sf.eclipsefp.haskell.core.jparser,0.10.0,net.sf.eclipsefp.haskell.core.jparser,1476094676585
started,bundle,net.sf.eclipsefp.haskell.core,0.10.0,net.sf.eclipsefp.haskell.core,1476094676601
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1476094677601
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476094682226
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476094687789
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476094692382
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476094701461
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1476094708539
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1476094709304
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1476094709320
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476094734227
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476094746902
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1476094746980
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1476094747027
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1476094753683
